seed,score,lowestFaceDown,completedRuns,depth,nodes
381,-24795,41,0,3,561
401,-24795,41,0,3,411
403,-24795,41,0,3,578
408,-24795,41,0,3,798
412,-24795,41,0,3,627
418,-24795,41,0,3,862
422,-24795,41,0,3,417
431,-24795,41,0,3,627
435,-24795,41,0,3,1700
446,-24795,41,0,3,389
448,-24795,41,0,3,331
449,-24795,41,0,3,392
455,-24795,41,0,3,471
457,-24795,41,0,3,644
463,-24795,41,0,3,497
477,-24795,41,0,3,499
482,-24795,41,0,3,562
486,-24795,41,0,3,555
533,-24795,41,0,3,1151
597,-24795,41,0,3,1027
606,-24795,41,0,3,1230
616,-24795,41,0,3,1077
649,-24795,41,0,3,765
676,-24795,41,0,3,1185
732,-24795,41,0,3,542
735,-24795,41,0,3,420
740,-24795,41,0,3,970
741,-24795,41,0,3,448
746,-24795,41,0,3,587
747,-24795,41,0,3,921
752,-24795,41,0,3,434
754,-24795,41,0,3,435
760,-24795,41,0,3,391
762,-24795,41,0,3,580
764,-24795,41,0,3,553
767,-24795,41,0,3,775
770,-24795,41,0,3,454
772,-24795,41,0,3,663
782,-24795,41,0,3,545
786,-24795,41,0,3,382
789,-24795,41,0,3,213
795,-24795,41,0,3,610
797,-24795,41,0,3,493
807,-24795,41,0,3,639
808,-24795,41,0,3,508
810,-24795,41,0,3,474
815,-24795,41,0,3,554
832,-24795,41,0,3,686
840,-24795,41,0,3,653
846,-24795,41,0,3,884
849,-24795,41,0,3,355
853,-24795,41,0,3,502
857,-24795,41,0,3,1151
877,-24795,41,0,3,674
894,-24795,41,0,3,839
955,-24795,41,0,3,768
423,-24910,41,0,5,1918
461,-24910,41,0,5,2060
694,-24910,41,0,5,2321
294,-24910,41,0,4,982
868,-24910,41,0,4,707
5,-24910,41,0,3,216
23,-24910,41,0,3,538
37,-24910,41,0,3,427
56,-24910,41,0,3,234
59,-24910,41,0,3,525
109,-24910,41,0,3,928
117,-24910,41,0,3,795
191,-24910,41,0,3,515
193,-24910,41,0,3,275
207,-24910,41,0,3,473
220,-24910,41,0,3,476
227,-24910,41,0,3,683
237,-24910,41,0,3,327
245,-24910,41,0,3,700
253,-24910,41,0,3,607
254,-24910,41,0,3,651
265,-24910,41,0,3,274
271,-24910,41,0,3,270
273,-24910,41,0,3,453
276,-24910,41,0,3,927
285,-24910,41,0,3,883
292,-24910,41,0,3,621
312,-24910,41,0,3,327
315,-24910,41,0,3,424
317,-24910,41,0,3,720
333,-24910,41,0,3,387
337,-24910,41,0,3,461
339,-24910,41,0,3,443
340,-24910,41,0,3,795
346,-24910,41,0,3,847
351,-24910,41,0,3,340
367,-24910,41,0,3,392
370,-24910,41,0,3,565
385,-24910,41,0,3,349
405,-24910,41,0,3,465
414,-24910,41,0,3,390
415,-24910,41,0,3,761
416,-24910,41,0,3,521
420,-24910,41,0,3,410
421,-24910,41,0,3,381
425,-24910,41,0,3,693
427,-24910,41,0,3,544
432,-24910,41,0,3,479
434,-24910,41,0,3,705
440,-24910,41,0,3,528
445,-24910,41,0,3,325
453,-24910,41,0,3,469
464,-24910,41,0,3,355
466,-24910,41,0,3,582
474,-24910,41,0,3,433
564,-24910,41,0,3,588
